Name,Sex,Age,Email,Salary,Unemployed,Occupation,purpose,Family size,Brand name,Tax Collection,Alcohol Consumption
Aadya,F,24,aadya@gmail.com,0,1,student,break-up,4,Blenders pride,2049.3,15
Anil,M,28,anil@gmail.com,0,1,idle,formal dinner,5,Tuborg,2160,12
Adit,M,22,adit@gmail.com,0,1,student,break-up,6,Blenders pride,2732.4,20
Anjali,F,40,anjali@gmail.com,1000000,0,engineer,formal dinner,4,Tuborg,2340,13
Vihaan,M,24,vihaan@gmail.com,0,1,idle,other,5,Blenders pride,3005.64,22
Rahul,M,36,rahul@gmail.com,600000,0,doctor,formal dinner,7,Haywards,2660,14
Vinay,M,23,vinay@gmail.com,0,1,idle,break-up,4,Haywards,5700,30
Nikhil,M,39,nikhil@gmail.com,1200000,0,engineer,other,4,Blenders pride,3142.26,23
Sai,M,20,sai@gmail.com,0,1,student,break-up,4,Tuborg,6300,35
Deva,M,20,deva@gmail.com,0,1,student,break-up,6,Haywards,6270,33
Vasavi,F,28,vasavi@gmail.com,800000,0,doctor,formal dinner,6,Blenders pride,1366.2,10
Tejaswini,F,18,tejaswini@gmail.com,0,1,student,break-up,6,Tuborg,5400,30
Pradeep,M,23,pradeep@gmail.com,250000,0,engineer,break-up,5,Haywards,8740,46
Pranathi,F,25,pranathi@gmail.com,0,1,idle,formal dinner,5,Tuborg,1980,11
DevDas,M,26,devdas@gmail.com,0,1,idle,other,7,Blenders pride,3005,22
Pavan,M,21,pavan@gmail.com,0,1,student,formal dinner,3,Haywards,1800,10
Chaitanya,M,45,chaitanya@gmail.com,450000,0,engineer,other,5,Tuborg,3600,20
Gayatri,F,36,gayatri@gmail.com,600000,0,doctor,formal dinner,2,Blenders pride,1502.82,11
upendra,M,30,upendra@gmail.com,2000000,0,engineer,break-up,6,Haywards,6650,35
Srina,F,22,srina@gmail.com,0,1,student,break-up,4,Tuborg,6840,38
Arun,M,27,arun@gmail.com,0,1,idle,formal dinner,5,Blenders pride,1496,11
Neela,F,30,neela@gmail.com,350000,0,bussiness,other,6,Haywards,5320,28
Dinesh,M,23,dinesh@gmail.com,0,1,student,break-up,7,Blenders pride,5464.8,40
Mahesh,M,22,mahesh@gmail.com,0,1,student,other,8,Haywards,3800,20
shree,M,56,shree@gmail.com,500000,0,engineer,formal dinner,6,Tuborg,1620,9
Ram,M,30,ram@gmail.com,550000,0,doctor,other,7,Blenders pride,3278.88,24
Arjun,M,45,arjun@gmail.com,1300000,0,engineer,formal dinner,5,Haywards,2470,13
Abhimanyu,M,19,abhimanyu@gmail.com,0,1,student,break-up,2,Tuborg,4140,23
Vishal,M,26,vishal@gmail.com,111100,0,engineer,break-up,3,Blenders pride,6147.9,45
Vijay,M,25,vijay@gmail.com,0,1,workless,break-up,4,Haywards,6840,36
Rajni,F,34,rajni@gmail.com,7000000,0,engineer,other,6,Tuborg,4680,26
Roshan,M,20,roshan@gmail.com,0,1,student,break-up,5,Blenders pride,2732.4,20
Vineet,M,38,vineet@gmail.com,3000000,0,engineer,other,7,Haywards,4750,25
Vamshi,M,47,vamshi@gmail.com,1000000,0,doctor,other,6,Haywards,4940,26
Abhijeet,M,38,abhijeet@gmail.com,250000,0,engineer,formal dinner,5,Tuborg,2700,15
Sudeep,M,67,sudeep@gmail.com,3300000,0,bussiness,other,3,Tuborg,3600,20
Sudarshan,M,22,sudarshan@gmail.com,0,1,student,break-up,4,Blenders pride,3600,20
Madhumita,F,24,madhumita@gmail.com,900000,0,doctor,other,6,Haywards,3990,21
Sameeksha,F,23,sameeksha@gmail.com,0,1,student,break-up,4,Tuborg,5400,30
Kajol,F,25,kajol@gmail.com,0,1,workless,other,4,Tuborg,4500,25
Sudeer,M,20,sudeer@gmail.com,0,1,student,other,5,Blenders pride,3142.26,23
Rani,F,18,rani@gmail.com,0,1,student,formal dinner,6,Haywards,2470,13
Raja,M,56,raja@gmail.com,1000000,0,doctor,other,7,Haywards,4180,22
Prasad,M,21,prasad@gmail.com,0,1,student,break-up,8,Tuborg,5400,30
Harani,F,34,harani@gmail.com,1200000,0,engineer,other,5,Blenders pride,3415.5,25
Chandra,M,50,chandra@gmail.com,0,1,idle,formal dinner,4,Haywards,1900,10
Chandini,F,34,chandini@gmail.com,400000,0,engineer,other,6,Tuborg,3960,22
Karan,M,28,karan@gmail.com,500000,0,engineer,formal dinner,7,Haywards,2090,11
Sidhart,M,20,sidhart@gmail.com,0,1,student,break-up,6,Blenders pride,4098.6,30
Kiran,M,22,kiran@gmail.com,0,1,student,other,5,Haywards,4180,22
Kareena,F,34,kareena@gmail.com,350000,0,engineer,formal dinner,3,Blenders pride,1092.96,8
Rithika,F,23,rithika@gmail.com,550000,0,engineer,formal dinner,6,Haywards,1710,9
Kareena,F,21,kareena@gmail.com,0,1,student,break-up,4,Blenders pride,2732.4,20
